Gene stable ID	GO term accession
BRADI1G01420	GO:0010224
BRADI1G01420	GO:0009813
BRADI1G01420	GO:0019243
BRADI1G01420	GO:0019243
BRADI1G01420	GO:0009813
BRADI1G01420	GO:0010224
BRADI1G01420	GO:0009744
BRADI1G01420	GO:0005524
BRADI1G01430	GO:0004672
BRADI1G01430	GO:0006468
BRADI1G01430	GO:0016772
BRADI1G01430	GO:0006468
BRADI1G01430	GO:0004672
BRADI1G01436	GO:0005524
BRADI1G01436	GO:0004672
BRADI1G01436	GO:0004674
BRADI1G01436	GO:0006468
BRADI1G01436	GO:0016772
BRADI1G01436	GO:0006468
BRADI1G01436	GO:0005515
BRADI1G01436	GO:0004672
BRADI1G01436	GO:0004674
BRADI1G01436	GO:0005524
BRADI1G01442	GO:0016020
BRADI1G01442	GO:0016021
BRADI1G01442	GO:0005524
BRADI1G01442	GO:0004672
BRADI1G01442	GO:0004674
BRADI1G01442	GO:0006468
BRADI1G01442	GO:0016772
BRADI1G01442	GO:0006468
BRADI1G01442	GO:0005515
BRADI1G01442	GO:0016021
BRADI1G01442	GO:0004672
BRADI1G01442	GO:0005524
BRADI1G01450	GO:0006508
BRADI1G01450	GO:0004190
BRADI1G01450	GO:0006508
BRADI1G01450	GO:0004190
BRADI1G01460	GO:0004592
